objid,objclass,timetaken,A_u,t0_u,gamma_u,beta_u,t_rise_u,t_fall_u,A_g,t0_g,gamma_g,beta_g,t_rise_g,t_fall_g,A_r,t0_r,gamma_r,beta_r,t_rise_r,t_fall_r,A_i,t0_i,gamma_i,beta_i,t_rise_i,t_fall_i,A_z,t0_z,gamma_z,beta_z,t_rise_z,t_fall_z,A_Y,t0_Y,gamma_Y,beta_Y,t_rise_Y,t_fall_Y
87674,SNIa-91bg,0.10428567727406819,1.1240974000000001,659.0951757231715,1.0085033761466913,1.6468002973387764e-25,24.129129223188734,23.775503592038767,1.0969591696512002,653.5705896135845,12.752961341536409,0.01751054294596177,11.162883096374953,3.229933090488652,1.5148550235581404,760.1361089139773,1.0000000000000027,0.37407166058637686,9.509261115428146,99.99999999999999,2.6997350594517453,86.1842879039512,6.009009107903145,3.484409596544351e-35,48.31169798955868,3.8725978695885117,14.268059260009471,780.8832049748138,49.99999999999817,0.8428111829352601,1.0000000000000915,99.99999999999999,66.21605692150217,806.1598741365218,1.0000002186537147,0.33309317958873463,1.2445061608118595,17.93107761188951
72292,TDE,0.062216997146606445,20.682613587673703,-5.965378008682488,36.59304987626077,3.741318606829582e-10,9.611054660657933,72.04349621535091,19.712156006770332,45.4967794907877,49.99999999999956,0.1669514438966568,6.406268154948227,72.75855290446141,16.066434566085405,47.36605453865749,44.14615215758367,8.566876525609491e-19,7.106394577524274,59.22025614018171,14.29101267484991,48.758414494327646,49.99999999999999,0.11400943614185902,5.966647666691419,60.94455394721232,5.508683093253709,621.4760032756598,1.0007266227395253,0.011297330921136686,99.99999999999999,99.99999999999957,30.91225062413702,77.28405980348533,1.0000000007306318,3.6727087039013525e-11,9.098691618796416,20.420214013267753
180621,SNIa-91bg,0.03692046801249186,20.501221187371623,6.38883677972582,22.250937494278112,0.9261944317612935,1.0000000000000002,28.569305004458073,7.32064690101869,135.23717049628002,49.99999999974648,1.5051249559716899e-18,2.2111151704237844,99.99999999999999,27.53016253155273,447.9446979686958,20.433667932863198,0.8220968523635446,2.8802196552611665,99.99999999999999,38.759908138509466,448.4722603569329,7.693655972651793,7.478823056203577e-25,2.466198027681733,16.304430805917878,63.841238886953114,449.36872596102944,26.789906431017325,0.6186813627233675,2.708834679304401,72.96370750553999,245.28990652112736,445.56236507672384,1.0000000000000002,0.3824413718927773,1.0000000000000002,20.457373509258705
293369,SNII,0.10704549153645833,103.589734999968,417.77796753709515,21.86855989513452,0.9326092402733117,1.2976886348056549,68.69419292714439,36.815644977734195,461.51188936057326,20.410825277411185,0.7319638118716675,1.0000000009796184,58.190106797552936,13.636633005351252,461.5785097523933,26.830458991067353,0.28217033134089586,1.0000000027885902,5.5165861616693945,12.701792885429091,464.3433316356447,49.99999999998317,1.1430622896482893e-13,2.6587606243962565,75.83168517225738,9.254910767525287,246.82002447622293,25.788426488049268,0.10057227900598659,5.970521349787111,99.99999999998464,339.6854031901303,664.0986500572326,49.99999005074402,0.8600822015262447,36.9189150637764,9.465139513500278
45760,SNIbc,0.08898572127024333,0.7614896405091793,272.6282828033693,17.40988012283991,5.352262691597791e-10,17.21575594560719,3.1879084269357594,0.6600863784022925,618.3319839600708,10.23019291576334,2.0854630756061758e-17,7.03979797705356,6.008517113793747,6.75771265659355,688.9509069491355,27.612968046889875,1.2775776500631565e-13,62.63217307897603,3.1885760278820383,7.426352390870761,673.2239197926532,44.16839327986085,0.04237752141758961,8.76591780465247,2.5680517428364267,14.887127040743689,853.6683386312592,11.082914517785143,9.317129198283318e-11,15.996313211350477,5.835100665333298,68.46286596471374,686.4805513545907,7.9830523979628785,5.7614653231214074e-11,59.73113256877484,7.695647777877786
281685,TDE,0.1173176368077596,9.012178868851551,204.51187514603637,49.99999999404345,0.1900394934140035,97.2519115047712,6.770445360274756,53.903887981518,-9.491380827260386,8.36830072506144,0.7823934896455067,1.0000000000000002,50.91549831092583,8.40592346543626,-1.4056768672504827,5.661148499698716,1.517988156067089e-35,1.0036758484348483,45.844014757518075,4.700718271799183,-11.37659936931891,25.28336397308269,1.1603426395062712e-12,6.846529465623927,38.322197700982464,163.53018561837638,719.4107212033902,1.0000000000000002,0.7745174021425052,3.5220869151992,10.219655044046034,20.397951940654746,52.36130204275439,14.027760030488539,0.9999999999999456,1.000000568171073,2.947223137627594
254624,SNIa,0.10591304302215576,3.3512877111280464,289.6410813971383,34.3945316788103,0.07735251437176707,99.99637442288977,3.088010404032054,3.436245102904556,327.07968122405117,49.999999994297376,8.497475921202384e-11,85.82954630022195,23.428144480497647,12.84321573505652,0.74396796946789,6.962655590296642,0.6653308940384682,1.0000426829455156,27.93945355204759,19.458501331162118,-4.571870560424705,20.792966459257038,5.835572199957705e-06,1.8937787622689577,15.2486750993054,22.335596416193617,-2.8178657418180952,26.526722474792724,8.673398172802707e-07,2.1244223485188716,22.115097225215838,23.708529932792434,0.8098764203212339,21.943692328318587,0.011880020355333679,1.0000004706802077,23.945139472716953
222755,SLSN-I,0.09352636337280273,0.6668000013797969,711.6432500061333,5.079339623840378,0.13815625889863792,9.11736789160524,3.6517797245663806,3.9226740349585554,59.01053768538931,49.97515738841084,0.5480429316386454,1.0000000000000002,5.9613491880335365,6.396502730672783,55.657497077503116,49.999998212244286,0.2871862979715728,14.514657931450357,4.1794485231909535,14.47557040763007,74.33287539800342,41.15244580074469,0.4907305703005321,18.07911754527957,5.743581829648694,8.874423185791786,56.29780639271333,49.999998687872456,2.2819203907594404e-12,7.135685197726927,4.343484303383421,13.54473086876562,60.48211397228351,47.55905343938154,0.5301183406502105,1.0000000000000002,5.4545318585399665
74537,SNIax,0.08406229813893636,24.08719341767044,502.58306700389596,49.606161852768714,0.0002046578150420923,2.548187840668431,8.255896620119263,21.749216543568394,729.9366490688194,1.0000000000000002,0.4671306506949927,2.0436373993349966,11.012539547576957,16.571614356527164,26.39397701148583,3.9705370566953944,0.9818714143880446,10.01328001778178,2.097593116074335,35.4810976911066,10.286896031120293,1.0002034266752853,0.01471272831947962,9.963546645481195,9.794043774679228,16.82424952139428,-19.739840261152118,12.974313623833691,2.3479833040801796e-05,1.0041732247456752,41.40128151589474,99.79926999999999,7.566537027044004,24.850336742873644,0.861798469349458,1.0000000104002764,98.90369280612188
3373,SNIa-91bg,0.03234684467315674,7.330675327083697,3.396701204674257,1.0000027640664781,0.9999999999629466,1.0000011693682214,11.312515971463824,0.6294554550013323,648.2390626149777,10.799049814732836,4.1110821079595205e-06,10.141078298777703,3.8092069296151596,13.954915276655004,405.9401494743755,1.0001485912621966,0.06854941268801099,9.437489575054324,6.763177762712425,18.093137429940832,387.3162543727674,18.378426998033706,5.453247662396294e-12,1.0000000013817476,25.654753157407594,30.710232968922067,399.50921881760326,11.150197528916769,5.735515044714397e-23,1.0002633295614232,23.90716918869468,35.830260662219196,394.39965960733156,19.069493351826715,2.215817974169638e-23,2.9607193143927444,24.687739138879625
